time,device_id,message,confidence,lat,lon
1777371176.545917,SIM_001,"HDOP_SPIKE, SATELLITE_DROP, MOTION_INCONSISTENCY",0.99,12.972,77.595
1777370841.2302313,SIM_001,"HDOP_SPIKE, SATELLITE_DROP, MOTION_INCONSISTENCY",0.99,12.972,77.595
